"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","878.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","549.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","547.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","657.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","657.000"
"L-2 - Biotecnologie","0380106200200002 - Biotecnologie mediche","Università di Ferrara","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","964.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","93.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","140.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","123.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","154.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","138.000"
"L-2 - Biotecnologie","0410106200200001 - BIOTECNOLOGIE","Carlo Bo","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","93.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","102.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","103.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","92.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","115.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","86.000"
"L-2 - Biotecnologie","0430206200200005 - Bioscienze e Biotecnologia -  Biosciences and Biotechnology","Università di Camerino","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","143.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","298.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","325.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","335.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","213.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","232.000"
"L-2 - Biotecnologie","0480106200200002 - Biotecnologie","Università di Firenze","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","243.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2020","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","29.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2021","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","36.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2022","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","37.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2023","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","35.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2024","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","37.000"
"L-2 - Biotecnologie","0500106200200004 - BIOTECNOLOGIE","Università di Pisa","2025","Avvii di carriera al primo anno* (L; LMCU; LM)","iC00a","50.000"
