"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","63.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","61.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","60.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","69.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","88.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","101.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","17.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","19.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","21.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","18.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","23.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","12.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","47.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","40.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","43.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","34.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","41.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","32.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","46.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","55.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","65.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","40.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","59.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","48.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","24.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","27.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","31.000"
