"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","Numeratore"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2021","Immatricolati puri ** (L; LMCU)","161.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2022","Immatricolati puri ** (L; LMCU)","87.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2023","Immatricolati puri ** (L; LMCU)","100.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2024","Immatricolati puri ** (L; LMCU)","126.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2025","Immatricolati puri ** (L; LMCU)","79.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2020","Immatricolati puri ** (L; LMCU)","135.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2021","Immatricolati puri ** (L; LMCU)","165.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2022","Immatricolati puri ** (L; LMCU)","182.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2023","Immatricolati puri ** (L; LMCU)","182.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2024","Immatricolati puri ** (L; LMCU)","182.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2025","Immatricolati puri ** (L; LMCU)","171.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2020","Immatricolati puri ** (L; LMCU)","51.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2021","Immatricolati puri ** (L; LMCU)","59.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2022","Immatricolati puri ** (L; LMCU)","60.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2023","Immatricolati puri ** (L; LMCU)","62.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2024","Immatricolati puri ** (L; LMCU)","62.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2025","Immatricolati puri ** (L; LMCU)","48.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2020","Immatricolati puri ** (L; LMCU)","46.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2021","Immatricolati puri ** (L; LMCU)","51.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2022","Immatricolati puri ** (L; LMCU)","46.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2023","Immatricolati puri ** (L; LMCU)","57.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2024","Immatricolati puri ** (L; LMCU)","51.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2025","Immatricolati puri ** (L; LMCU)","56.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2020","Immatricolati puri ** (L; LMCU)","100.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2021","Immatricolati puri ** (L; LMCU)","92.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2022","Immatricolati puri ** (L; LMCU)","89.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2023","Immatricolati puri ** (L; LMCU)","94.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2024","Immatricolati puri ** (L; LMCU)","81.000"
