"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","37.000"
"L-2 - Biotecnologie","0220106200200002 - SCIENZE E TECNOLOGIE BIOMOLECOLARI","Università di Trento","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","36.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","58.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","38.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","41.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","44.000"
"L-2 - Biotecnologie","0230106200200002 - Biotecnologie","Università di Verona","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","54.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","70.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","89.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","103.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","97.000"
"L-2 - Biotecnologie","0280106200200001 - Biotecnologie","Università di Padova","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","102.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","18.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","15.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","11.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","20.000"
"L-2 - Biotecnologie","0300106200200002 - Biotecnologie","Università di Udine","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","26.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","20.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","32.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","25.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","23.000"
"L-2 - Biotecnologie","0320106201300002 - Scienze e tecnologie biologiche","Università di Trieste","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","24.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","61.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","38.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","46.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","44.000"
"L-2 - Biotecnologie","0340106200200002 - Biotecnologie","Università di Parma","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","52.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","29.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2021","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","27.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2022","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","25.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2023","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","34.000"
"L-2 - Biotecnologie","0360106200200001 - BIOTECNOLOGIE","Università di Modena e Reggio Emilia","2024","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","26.000"
"L-2 - Biotecnologie","0370106200200001 - Biotecnologie","Università di Bologna","2020","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","iC16BIS","57.000"
