"Ateneo","Nome Corso","Classe","ID Indicatore","Anno accademico","Numeratore"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2022","325.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2023","434.000"
"Università di Ferrara","0380106200200002 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2024","331.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","124.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","111.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","85.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","80.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","159.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","239.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","227.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","223.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","177.000"
"Università di Firenze","0480106200200002 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","188.000"
"Università di Foggia","0710107320200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2024","20.000"
"Università di Foggia","0710107320200001 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2024","28.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","163.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","36.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","32.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","37.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","44.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","394.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","77.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","80.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","60.000"
"Università di Genova","0100106200200004 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","64.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","62.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","57.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","70.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","46.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","60.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","90.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","78.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","107.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","93.000"
"Università dell'Insubria","0120206200200001 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","78.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","38.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","30.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","38.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","50.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","52.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","74.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","65.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","70.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","77.000"
"Università de L'Aquila","0660106200200008 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","71.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2020","42.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2021","56.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2022","42.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2023","50.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2024","55.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2020","71.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2021","93.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2022","91.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2023","99.000"
"Università del SALENTO","0750106200200002 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2024","73.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2020","43.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2021","44.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2022","44.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2023","38.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC14","2024","39.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2020","63.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2021","78.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2022","80.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2023","92.000"
"Università di Messina","0830106200200003 - Biotecnologie","L-2 - Biotecnologie","iC21","2024","55.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2020","70.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2021","45.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2022","50.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2023","53.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC14","2024","67.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2020","94.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2021","84.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2022","86.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2023","82.000"
"Università di Milano","0150106200200003 - Biotecnologie mediche","L-2 - Biotecnologie","iC21","2024","77.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC14","2020","121.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC14","2021","120.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC14","2022","119.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC14","2023","133.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC14","2024","128.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC21","2020","183.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC21","2021","183.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC21","2022","190.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC21","2023","200.000"
"Università di Milano","0150106200200016 - Biotecnologia","L-2 - Biotecnologie","iC21","2024","155.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2020","108.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2021","136.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2022","115.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2023","136.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC14","2024","133.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2020","138.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2021","165.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2022","155.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2023","162.000"
"Bicocca","0150906200200008 - BIOTECNOLOGIE","L-2 - Biotecnologie","iC21","2024","148.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC14","2020","29.000"
"San Raffaele","0150806200200002 - Ricerca biotecnologica in medicina","L-2 - Biotecnologie","iC14","2021","29.000"
